,شهر,تاريخ الشراء,رقم الكارت,هل انت راض عن جودة اللحوم المقدمه داخل القسم,هل انت راض عن وقت التسويه للحوم المباعه بالقسم,هل انت راض عن مذاق اللحوم الموجوده بالقسم,هل انت راض عن مستوى جودة الخدمه بشكل عام,هل هناك اي ملاحظات او اصناف ترغب في توافرها,نوع الاستبيان
0,فبراير,44976,213904,لا,لا,لا,لا,نعم,شكوي
1,فبراير,44976,233239,نعم,نعم,نعم,نعم,نعم,اقتراح
2,فبراير,44976,507500,لا,لا,لا,لا,نعم,شكوي
3,فبراير,44976,507631,نعم,نعم,نعم,لا,نعم,شكوي
4,فبراير,44976,508047,لا,لا,لا,لا,نعم,شكوي
5,فبراير,44976,508516,نعم,نعم,نعم,لا,نعم,شكوي
6,فبراير,44976,508552,نعم,نعم,نعم,لا,نعم,شكوي
7,فبراير,44976,508663,نعم,نعم,نعم,نعم,لا,شكر
8,فبراير,44976,508721,لا,لا,لا,لا,نعم,شكوي
9,فبراير,44976,508817,نعم,نعم,نعم,نعم,لا,شكر
10,فبراير,44976,509669,نعم,نعم,نعم,لا,نعم,شكوي
11,فبراير,44976,509683,نعم,نعم,نعم,لا,نعم,شكوي
12,فبراير,44976,509784,نعم,نعم,نعم,نعم,لا,شكر
13,فبراير,44976,509821,نعم,نعم,نعم,لا,نعم,شكوي
14,فبراير,44976,509823,نعم,نعم,نعم,نعم,لا,شكر
15,فبراير,44976,510252,نعم,نعم,نعم,نعم,لا,شكر
16,فبراير,44976,510813,نعم,نعم,نعم,نعم,لا,شكر
17,فبراير,44976,510919,نعم,نعم,نعم,نعم,لا,شكوي
18,فبراير,44976,511079,نعم,نعم,نعم,نعم,لا,شكر
19,فبراير,44976,511639,نعم,نعم,نعم,نعم,لا,شكر
20,فبراير,44976,512636,نعم,نعم,نعم,نعم,لا,شكر
21,فبراير,44976,512693,لا,لا,لا,لا,نعم,شكوي
22,فبراير,44976,512803,نعم,نعم,نعم,نعم,لا,شكر
23,فبراير,44976,512896,نعم,نعم,نعم,نعم,لا,شكر
24,فبراير,44976,513772,نعم,نعم,نعم,لا,نعم,شكوي
25,فبراير,44976,513996,لا,لا,لا,لا,نعم,شكوي
26,فبراير,44976,514451,نعم,نعم,نعم,لا,نعم,شكوي
27,فبراير,44976,514540,نعم,نعم,نعم,لا,نعم,شكوي
28,فبراير,44976,514580,لا,لا,نعم,لا,نعم,شكوي
29,فبراير,44976,515106,لا,لا,لا,لا,نعم,شكوي
30,فبراير,44976,515223,نعم,نعم,نعم,نعم,نعم,اقتراح
31,فبراير,44976,515420,نعم,نعم,نعم,نعم,لا,شكر
32,فبراير,44976,515423,لا,لا,لا,لا,نعم,شكوي
33,فبراير,44976,515556,نعم,نعم,نعم,لا,نعم,شكوي
34,فبراير,44976,515938,نعم,نعم,نعم,نعم,لا,شكر
35,فبراير,44976,516114,نعم,نعم,نعم,لا,نعم,شكوي
36,فبراير,44976,516468,نعم,نعم,نعم,لا,لا,شكر
37,فبراير,44976,516838,نعم,نعم,نعم,نعم,لا,شكر
38,فبراير,44976,516925,نعم,نعم,نعم,نعم,لا,شكر
39,فبراير,44976,517084,نعم,نعم,نعم,نعم,لا,شكر
40,فبراير,44976,518405,نعم,نعم,نعم,لا,نعم,شكوي
41,فبراير,44976,518522,نعم,نعم,نعم,نعم,نعم,اقتراح
42,فبراير,44976,518572,نعم,نعم,نعم,نعم,لا,شكر
43,فبراير,44976,519199,نعم,نعم,نعم,نعم,نعم,اقتراح
44,فبراير,44976,519205,لا,لا,لا,لا,نعم,شكوي
45,فبراير,44976,519247,نعم,نعم,نعم,نعم,لا,شكر
46,فبراير,44976,519663,نعم,نعم,نعم,نعم,لا,شكر
47,فبراير,44976,519921,نعم,نعم,نعم,نعم,لا,شكر
48,فبراير,44976,520865,نعم,نعم,نعم,لا,نعم,شكوي
49,فبراير,44976,521271,نعم,نعم,نعم,نعم,لا,شكر
50,فبراير,44976,521294,نعم,نعم,نعم,لا,نعم,شكوي
51,فبراير,44976,521421,نعم,نعم,نعم,لا,نعم,شكوي
52,فبراير,44976,521437,لا,لا,لا,لا,نعم,شكوي
53,فبراير,44976,521903,نعم,نعم,نعم,نعم,لا,شكر
54,فبراير,44976,522434,نعم,نعم,نعم,نعم,لا,شكر
55,فبراير,44976,523068,نعم,نعم,نعم,لا,نعم,شكوي
56,فبراير,44976,523559,نعم,نعم,نعم,نعم,لا,شكر
57,فبراير,44976,524867,نعم,نعم,نعم,نعم,لا,شكر
58,فبراير,44976,524951,نعم,نعم,نعم,لا,نعم,شكوي
59,فبراير,44976,525607,نعم,نعم,نعم,نعم,نعم,اقتراح
60,فبراير,44976,525736,نعم,نعم,نعم,نعم,لا,شكر
61,فبراير,44976,527015,لا,لا,لا,لا,نعم,شكوي
62,فبراير,44977,200529,نعم,نعم,نعم,نعم,لا,شكر
63,فبراير,44977,206617,نعم,نعم,نعم,نعم,لا,شكر
64,فبراير,44977,220152,نعم,نعم,نعم,نعم,لا,شكر
65,فبراير,44977,507189,نعم,نعم,نعم,نعم,لا,شكر
66,فبراير,44977,507911,نعم,نعم,نعم,نعم,لا,شكر
67,فبراير,44977,507949,نعم,نعم,نعم,لا,نعم,شكوي
68,فبراير,44977,508293,نعم,نعم,نعم,نعم,لا,شكر
69,فبراير,44977,508584,نعم,نعم,نعم,لا,نعم,شكوي
70,فبراير,44977,509111,نعم,نعم,نعم,نعم,لا,شكر
71,فبراير,44977,509261,نعم,نعم,نعم,نعم,لا,شكر
72,فبراير,44977,510082,نعم,نعم,نعم,نعم,لا,شكر
73,فبراير,44977,510745,نعم,نعم,نعم,نعم,لا,شكر
74,فبراير,44977,512930,نعم,نعم,نعم,نعم,لا,شكر
75,فبراير,44977,512938,نعم,نعم,نعم,نعم,لا,شكر
76,فبراير,44977,513358,لا,لا,لا,نعم,نعم,شكوي
77,فبراير,44977,513687,نعم,نعم,نعم,نعم,لا,شكر
78,فبراير,44977,514376,نعم,نعم,نعم,نعم,لا,شكر
79,فبراير,44977,515201,نعم,نعم,نعم,نعم,لا,شكر
80,فبراير,44977,515232,نعم,نعم,نعم,نعم,لا,شكر
81,فبراير,44977,515595,نعم,نعم,نعم,نعم,لا,شكر
82,فبراير,44977,516061,نعم,نعم,نعم,نعم,لا,شكر
83,فبراير,44977,516346,نعم,نعم,نعم,نعم,لا,شكر
84,فبراير,44977,516671,لا,لا,لا,نعم,نعم,شكوي
85,فبراير,44977,516673,نعم,نعم,نعم,نعم,لا,شكر
86,فبراير,44977,517700,نعم,نعم,نعم,نعم,لا,شكر
87,فبراير,44977,518385,نعم,نعم,نعم,نعم,لا,شكر
88,فبراير,44977,518501,لا,لا,لا,نعم,نعم,شكوي
89,فبراير,44977,518524,نعم,نعم,نعم,لا,نعم,شكوي
90,فبراير,44977,519079,نعم,نعم,نعم,نعم,لا,شكر
91,فبراير,44977,519470,نعم,نعم,نعم,لا,نعم,شكوي
92,فبراير,44977,520952,نعم,نعم,نعم,لا,نعم,شكوي
93,فبراير,44977,522898,نعم,نعم,نعم,نعم,لا,شكر
94,فبراير,44977,523120,نعم,نعم,نعم,نعم,لا,شكر
95,فبراير,44977,523132,نعم,نعم,نعم,لا,نعم,شكوي
96,فبراير,44977,523762,نعم,نعم,نعم,نعم,لا,شكر
97,فبراير,44977,524568,نعم,نعم,نعم,لا,نعم,شكوي
98,فبراير,44977,526201,نعم,نعم,نعم,نعم,لا,شكر
99,فبراير,44977,526619,نعم,نعم,نعم,لا,نعم,شكوي
100,فبراير,44977,526654,نعم,نعم,نعم,نعم,لا,شكر
101,فبراير,44977,528568,نعم,نعم,نعم,نعم,لا,شكر
102,فبراير,44977,528719,نعم,نعم,نعم,نعم,لا,شكر
103,فبراير,44977,528975,نعم,نعم,نعم,لا,نعم,شكوي
104,فبراير,44977,529574,نعم,نعم,نعم,نعم,لا,شكر
105,فبراير,44977,539686,نعم,نعم,نعم,نعم,لا,شكر
106,فبراير,44977,601043,نعم,نعم,نعم,نعم,لا,شكر
107,فبراير,44977,601050,نعم,نعم,نعم,نعم,لا,شكر
108,فبراير,44977,601268,نعم,نعم,نعم,نعم,لا,شكر
109,فبراير,44977,601379,نعم,نعم,نعم,نعم,لا,شكر
110,فبراير,44977,601487,لا,لا,لا,نعم,نعم,شكوي
111,فبراير,44977,604687,نعم,نعم,نعم,نعم,لا,شكر
112,فبراير,44977,605554,نعم,نعم,نعم,نعم,لا,شكر
113,فبراير,44977,609356,نعم,نعم,نعم,نعم,لا,شكر
114,فبراير,44977,610677,نعم,نعم,نعم,لا,نعم,شكوي
115,فبراير,44978,602249,نعم,نعم,نعم,لا,نعم,شكوي
116,فبراير,44978,610483,نعم,نعم,نعم,نعم,لا,شكر
117,فبراير,44978,610491,نعم,نعم,نعم,نعم,لا,شكر
118,فبراير,44978,522767,نعم,نعم,نعم,لا,نعم,شكوي
119,فبراير,44978,625922,نعم,نعم,لا,نعم,نعم,شكوي
120,فبراير,44978,623371,نعم,نعم,نعم,لا,نعم,شكوي
121,فبراير,44978,517152,نعم,نعم,نعم,نعم,لا,شكر
122,فبراير,44978,513016,نعم,نعم,نعم,نعم,لا,شكر
123,فبراير,44978,528783,نعم,نعم,نعم,نعم,لا,شكر
124,فبراير,44978,603052,نعم,نعم,نعم,نعم,لا,شكر
125,فبراير,44978,527640,نعم,نعم,نعم,نعم,لا,شكر
126,فبراير,44978,619932,نعم,نعم,نعم,نعم,لا,شكر
127,فبراير,44978,508131,نعم,نعم,نعم,نعم,لا,شكر
128,فبراير,44978,608312,نعم,نعم,نعم,نعم,لا,شكر
129,فبراير,44978,613589,نعم,نعم,نعم,نعم,لا,شكر
130,فبراير,44978,484692,نعم,نعم,نعم,لا,نعم,شكوي
131,فبراير,44978,513073,نعم,نعم,نعم,نعم,لا,شكر
132,فبراير,44978,620987,نعم,نعم,نعم,لا,نعم,شكوي
133,فبراير,44978,835837,نعم,نعم,نعم,نعم,لا,شكر
134,فبراير,44978,603878,نعم,نعم,نعم,نعم,لا,شكر
135,فبراير,44978,512822,نعم,نعم,نعم,نعم,لا,شكر
136,فبراير,44978,373913,نعم,نعم,نعم,نعم,لا,شكر
137,فبراير,44978,628018,لا,لا,لا,نعم,نعم,شكوي
138,فبراير,44978,604454,نعم,نعم,نعم,نعم,لا,شكر
139,فبراير,44978,623466,نعم,نعم,نعم,لا,نعم,شكوي
140,فبراير,44978,629202,نعم,نعم,نعم,نعم,لا,شكر
141,فبراير,44978,627670,نعم,نعم,نعم,نعم,لا,شكر
142,فبراير,44978,619931,لا,لا,لا,نعم,نعم,شكوي
143,فبراير,44978,522197,نعم,نعم,نعم,نعم,لا,شكر
144,فبراير,44978,619828,نعم,نعم,نعم,نعم,لا,شكر
145,فبراير,44978,610699,نعم,نعم,نعم,نعم,لا,شكر
146,فبراير,44978,510713,نعم,نعم,نعم,نعم,لا,شكر
147,فبراير,44978,835827,نعم,نعم,نعم,نعم,لا,شكر
148,فبراير,44978,513709,نعم,نعم,نعم,نعم,لا,شكر
149,فبراير,44978,522927,نعم,نعم,نعم,نعم,لا,شكر
150,فبراير,44978,519070,نعم,نعم,نعم,نعم,لا,شكر
151,فبراير,44978,524651,نعم,نعم,نعم,نعم,لا,شكر
152,فبراير,44978,618026,نعم,نعم,نعم,نعم,لا,شكر
153,فبراير,44978,601300,نعم,نعم,نعم,نعم,لا,شكر
154,فبراير,44978,609987,نعم,نعم,نعم,لا,نعم,شكوي
155,فبراير,44978,613452,نعم,نعم,نعم,نعم,لا,شكر
156,فبراير,44978,520413,نعم,نعم,نعم,نعم,لا,شكر
157,فبراير,44978,522049,نعم,نعم,نعم,لا,نعم,شكوي
158,فبراير,44978,516174,نعم,نعم,نعم,نعم,لا,شكر
159,فبراير,44978,507685,لا,لا,لا,نعم,نعم,شكوي
160,فبراير,44978,635108,نعم,نعم,نعم,نعم,لا,شكر
161,فبراير,44978,620388,نعم,نعم,نعم,نعم,لا,شكر
162,فبراير,44978,511759,نعم,نعم,نعم,نعم,لا,شكر
163,فبراير,44978,838733,نعم,نعم,نعم,نعم,لا,شكر
164,فبراير,44978,507939,نعم,نعم,نعم,نعم,لا,شكر
165,فبراير,44978,612297,نعم,نعم,نعم,لا,نعم,شكوي
166,فبراير,44978,628604,نعم,نعم,نعم,نعم,لا,شكر
167,فبراير,44978,625578,نعم,نعم,نعم,نعم,لا,شكر
168,فبراير,44978,510690,نعم,نعم,نعم,نعم,لا,شكر
169,فبراير,44978,788960,نعم,نعم,نعم,نعم,لا,شكر
170,فبراير,44978,487884,نعم,نعم,نعم,نعم,لا,شكر
171,فبراير,44978,837876,نعم,نعم,نعم,لا,نعم,شكوي
172,فبراير,44978,517178,نعم,نعم,نعم,نعم,لا,شكر
173,فبراير,44978,521368,نعم,نعم,نعم,نعم,لا,شكر
174,فبراير,44978,626550,نعم,نعم,نعم,نعم,لا,شكر
175,فبراير,44978,629146,نعم,نعم,نعم,نعم,لا,شكر
176,فبراير,44978,520725,نعم,نعم,نعم,نعم,لا,شكر
177,فبراير,44978,526238,نعم,نعم,نعم,لا,نعم,شكوي
178,فبراير,44978,616425,نعم,نعم,نعم,نعم,لا,شكر
179,فبراير,44980,529139,نعم,نعم,نعم,نعم,لا,شكر
180,فبراير,44980,612915,نعم,نعم,نعم,لا,نعم,شكوي
181,فبراير,44980,613900,لا,لا,لا,لا,نعم,شكوي
182,فبراير,44980,614035,نعم,نعم,نعم,نعم,لا,شكر
183,فبراير,44980,838031,نعم,نعم,نعم,نعم,لا,شكر
184,فبراير,44980,617242,نعم,نعم,نعم,نعم,لا,شكر
185,فبراير,44980,614873,نعم,نعم,نعم,نعم,لا,شكر
186,فبراير,44980,528227,نعم,نعم,نعم,نعم,لا,شكر
187,فبراير,44980,524217,نعم,نعم,نعم,نعم,لا,شكر
188,فبراير,44980,612130,نعم,نعم,نعم,نعم,نعم,شكر
189,فبراير,44980,635244,نعم,نعم,نعم,نعم,لا,شكر
190,فبراير,44980,611322,نعم,نعم,نعم,لا,نعم,شكوي
191,فبراير,44980,521976,نعم,نعم,نعم,نعم,لا,شكوي
192,فبراير,44980,834035,نعم,نعم,نعم,نعم,لا,شكر
193,فبراير,44980,520855,نعم,نعم,نعم,نعم,لا,شكر
194,فبراير,44980,613486,نعم,نعم,نعم,نعم,لا,شكر
