,شهر,التاريخ,كود العميل,مستوي خدمه متلقي الاوردر,مده وصول الاوردر,الالتزام الطيار  بالاجراءات الاحترازيه,توافر اصناف,مستوى خدمه التوصيل  بشكل عام,اصناف يرغب في توافرها,نوع المكالمة
28,يناير,2023-01-15,33537,5.0,5.0,5.0,5.0,5.0, لايوجد,شكر
29,يناير,2023-01-15,34477,5.0,3.0,5.0,3.0,4.0,شاى   العروسة 250جم  ناعم,شكوي
30,يناير,2023-01-15,34495,3.0,5.0,5.0,5.0,5.0, لايوجد,شكر
31,يناير,2023-01-15,34850,5.0,5.0,5.0,5.0,5.0, لايوجد,شكر
32,يناير,2023-01-15,35655,5.0,5.0,5.0,5.0,5.0, لايوجد,شكر
33,يناير,2023-01-15,35682,5.0,5.0,5.0,5.0,5.0, لايوجد,شكر
34,يناير,2023-01-15,35796,5.0,5.0,5.0,5.0,5.0, لايوجد,شكر
35,يناير,2023-01-15,36303,5.0,5.0,5.0,5.0,5.0, لايوجد,شكر
36,يناير,2023-01-15,37068,5.0,5.0,5.0,5.0,5.0, لايوجد,شكر
37,يناير,2023-01-15,38532,5.0,5.0,5.0,5.0,5.0, لايوجد,شكر
159,فبراير,2023-02-22,35984,5.0,5.0,5.0,5.0,5.0,توفير انواع  الارز ,شكوي
293,مايو ,2023-05-08,41676,5.0,5.0,5.0,5.0,5.0,لسكوت العبد ساده ,شكر
402,مايو ,2023-05-13,38558,5.0,5.0,5.0,5.0,5.0,عصير برتقال 250 مللي ,شكر
404,مايو ,2023-05-13,39395,5.0,5.0,5.0,5.0,5.0,جرين لاند لايت / بريزيدون لايت /  كوكس ملح 700 جم ,شكوي
410,مايو ,2023-05-13,43523,5.0,5.0,5.0,4.0,5.0,عدس فتح الله/ برتقال بلدي / بطاطس فريش بالوزن ,شكر
561,مارس,2023-03-18,34495,5.0,5.0,5.0,5.0,5.0,لا يوجد,شكر
563,مارس,2023-03-18,35053,5.0,5.0,5.0,5.0,5.0,لا يوجد,شكر
564,مارس,2023-03-18,35783,5.0,5.0,5.0,4.0,5.0,  خل  قها/شاى العروسة 250 جرام  ملح  خشن,شكوي
567,مارس,2023-03-18,36966,5.0,4.0,5.0,5.0,4.0, لا يوجد,شكوي
570,مارس,2023-03-18,38049,5.0,5.0,5.0,5.0,5.0,لا يوجد,شكر
571,مارس,2023-03-18,40580,5.0,5.0,5.0,3.0,5.0,عيش  تورتيلا,شكوي
573,مارس,2023-03-18,41626,5.0,5.0,5.0,5.0,5.0,لا يوجد,شكر
576,مارس,2023-03-18,42974,5.0,5.0,5.0,5.0,5.0,لا يوجد,شكر
580,مارس,2023-03-18,44427,5.0,5.0,5.0,5.0,5.0,لا يوجد,شكر
582,مارس,2023-03-18,45512,5.0,5.0,5.0,5.0,3.0,لا يوجد,شكوي
583,مارس,2023-03-22,33273,5.0,5.0,5.0,5.0,5.0, لا يوجد,شكر
584,مارس,2023-03-22,34175,5.0,3.0,5.0,3.0,3.0,لا يوجد,شكوي
585,مارس,2023-03-22,35012,5.0,5.0,5.0,5.0,5.0, لا يوجد,شكر
