,شهر,تاريخ الاتصال,تاريخ طلب الاوردر,كود العميل,جوده المنتج - التغليف,خدمه متلقي الاوردر,وصول الاوردر بالميعاد المحدد,الخدمه مرضيه بشكل عام,ارتداء الطيار الكمامة,نوع المكالمة,ملاحظات العميل
0,يناير,44928,44927,52681.0,5,5,3,3,5,شكوي,    تاخير    الاوردر  نصف  ساعة  عن  الميعاد المتفق  عليه  2:00م  وصل  2:30  م 
1,يناير,44928,44927,91041.0,5,5,5,5,5,شكر, الخدمة ممتازة
2,يناير,44928,44927,92195.0,5,5,5,4,5,شكوي,  تاخير  التواصل  من  قبل  شيف  الفرع  لاخذ  الاوردر  من  العميل  
3,يناير,44928,44927,76954.0,5,5,5,5,5,شكر, الخدمة ممتازة
4,يناير,44928,44927,59310.0,5,5,5,5,5,شكر, الخدمة ممتازة
5,يناير,44928,44927,78605.0,5,5,3,3,5,شكوي,    مدة  اوردر    سمك  نى  اكثر  من  ثلاث  ساعات  والشيف  لم  يبلغها  بتوافر  تسوية  الاسماك  فى  الفرع
6,يناير,44928,44927,38119.0,5,5,5,5,5,شكر, الخدمة ممتازة
7,يناير,44928,44927,92328.0,5,5,5,5,5,شكر, الخدمة ممتازة
8,يناير,44928,44927,68378.0,5,5,5,5,5,شكر, الخدمة ممتازة
9,يناير,44928,44927,71580.0,1,1,1,1,1,شكوي,  تاخير التواصل  من  قبل  شيف  الفرع    لاخذ  الاوردر  وتاخير  وصول الاوردر    من  5:00  وصل  6:30م  رغم  التاكيد  من  العميل  على  وصول  الاوردر  باكر
10,يناير,44928,44927,39293.0,5,5,3,3,5,شكوي,  تاخير  الاوردر  ساعتين  عن الميعاد  المتفق  عليه  من  4:00م  وصل  6:00م
11,يناير,44928,44927,96651.0,3,5,5,3,5,شكوي,  سمك  البلطى  غير  فريش
12,يناير,44928,44927,56143.0,5,5,5,5,5,شكر, الخدمة ممتازة
13,يناير,44929,44928,38231.0,5,5,3,3,5,شكوي,  تاخير  الاوردر  ساعة  ونصف  عن  الميعاد  المتفق  عليه  من  2:30م  وصل  4:00م
14,يناير,44929,44928,42146.0,5,5,5,3,5,شكوي,  مشادة  كلامية  بين    كاشير  الاسماك  ومسؤول  من  القسم  امام  العميل  مع  ازعج  العميل 1/15/020123
15,يناير,44929,44928,49104.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
16,يناير,44929,44928,37133.0,3,5,5,3,5,شكوي,  سمك  البلطى شوى  مفتوح  ردة  شبه  محروق
17,يناير,44929,44928,34170.0,5,5,5,5,5,شكر,  الخدمة  ممتازة  
18,يناير,44929,44928,45599.0,5,5,5,5,5,شكر,  الخدمة  ممتازة  
19,يناير,44929,44928,35862.0,5,5,5,5,5,شكر,  الخدمة  ممتازة  
20,يناير,44929,44928,77530.0,5,5,5,5,5,شكر,  الخدمة  ممتازة  
21,يناير,44929,44928,41152.0,5,5,5,5,5,شكر,  الخدمة  ممتازة  
22,يناير,44930,44929,72123.0,5,5,5,5,5,شكر,الخدمة  ممتازة  
23,يناير,44930,44929,41338.0,5,5,5,5,5,شكر,الخدمة  ممتازة  
24,يناير,44930,44929,34254.0,5,5,5,5,5,شكر,الخدمة  ممتازة  
25,يناير,44930,44929,34198.0,5,5,5,5,5,شكر,الخدمة  ممتازة  
27,يناير,44930,44929,34175.0,5,5,5,5,5,شكر,الخدمة  ممتازة  
28,يناير,44931,44930,37117.0,5,5,5,5,5,شكر,خدمه ممتازة جدا 
29,يناير,44931,44930,35344.0,3,3,4,3,4,شكوي,يشكو متلقى الاوردر وعدم  الالتزام بالاوزان المطلوبة تم طلب السمك لوت يكون 2 كجم  ولا يزيد عن 2.5 كجم وصل 3.6 كجم بسعر اكثر من 400 جنيه 
30,يناير,44931,44930,67674.0,5,5,5,3,5,شكوي, ارتفاع  اسعار الاسماك بشكل مبالغ فيه ومقارنه بالاماكن الاخرى 
31,يناير,44931,44930,38841.0,5,5,5,5,5,شكر,خدمه ممتازة جدا   وتشكر الطيار بسبب امانته والرجوع للعميل مرة اخرى لوجود باقى 100 جنيه 
32,يناير,44931,44930,97776.0,5,5,3,3,5,شكوي,تاخير وصول الاوردر تم الاتفاق الساعه 4 وصل الساعه 4:30   
33,يناير,44931,44930,98424.0,3,5,5,3,5,شكوي, السمك البلطى ناقص ملح لكن الجودة ممتازة جدا 
34,يناير,44931,44930,32857.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
35,يناير,44931,44930,52681.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
36,يناير,44931,44930,98427.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
37,يناير,44931,44930,64581.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
38,يناير,44931,44930,96195.0,3,4,4,3,4,شكوي,تتبيلة السمك البورى سيئة   وتم طلبه ببطارخ ووصل بدون بطارخ 
39,يناير,44931,44930,33130.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
