,شهر,التاريخ,كود العميل,مدى الالتزام الفرع بالاجراءات الاحترازية,مدي رضاء العميل عن نظافة المكان,مدي رضاء العميل عن معاملة العاملين بالفرع,مدي رضاء العميل عن اسعار المنتجات داخل الفرع,مدي رضاء العميل عن تنوع المنتجات,نوع المكالمة
0,يناير,2023-01-11,523511,5,5,5,5,5,شكر
1,يناير,2023-01-11,607165,5,5,5,5,5,شكر
2,يناير,2023-01-11,527301,5,5,5,5,5,شكر
3,يناير,2023-01-11,66101,5,5,5,5,5,شكر
4,يناير,2023-01-11,527855,5,5,5,5,5,شكر
5,يناير,2023-01-11,525863,5,5,5,5,5,شكر
6,يناير,2023-01-11,631540,5,5,5,5,5,شكر
7,يناير,2023-01-11,202372,5,5,5,5,5,شكر
8,يناير,2023-01-11,525918,5,5,5,5,5,شكر
9,يناير,2023-01-12,628781,5,5,5,5,5,شكر
10,يناير,2023-01-12,627483,5,5,5,5,5,شكر
11,يناير,2023-01-12,635094,5,5,5,5,5,شكر
12,يناير,2023-01-12,628339,5,5,5,5,5,شكر
13,يناير,2023-01-12,617626,5,5,5,5,5,شكر
14,يناير,2023-01-12,628685,5,5,5,5,5,شكر
15,يناير,2023-01-12,517514,5,5,5,5,5,شكر
16,يناير,2023-01-14,489069,5,5,5,5,5,شكر
17,يناير,2023-01-14,618789,5,5,5,5,5,شكر
18,يناير,2023-01-14,631730,5,5,5,5,5,شكر
19,يناير,2023-01-14,516295,5,5,5,5,5,شكر
20,يناير,2023-01-14,628151,5,5,5,5,5,شكر
21,يناير,2023-01-14,606130,5,5,5,5,5,شكر
22,يناير,2023-01-14,613594,5,5,5,5,5,شكر
23,يناير,2023-01-14,606228,5,5,5,5,5,شكر
24,يناير,2023-01-14,604104,5,5,5,5,5,شكر
25,يناير,2023-01-14,607786,5,5,5,5,5,شكر
26,يناير,2023-01-14,618761,5,5,5,5,5,شكر
27,يناير,2023-01-16,527516,5,5,5,5,5,شكر
28,يناير,2023-01-16,516116,5,5,5,5,5,شكر
29,يناير,2023-01-16,521067,5,5,5,5,5,شكر
30,يناير,2023-01-16,605020,5,5,5,5,5,شكر
31,يناير,2023-01-16,628983,5,5,5,5,5,شكر
32,يناير,2023-01-16,515351,5,5,5,5,5,شكر
33,يناير,2023-01-16,519381,5,5,5,5,5,شكوي
34,يناير,2023-01-16,528262,5,5,5,5,5,شكوي
35,يناير,2023-01-16,514482,5,5,5,5,5,شكر
36,يناير,2023-01-16,515902,5,5,5,5,5,شكر
37,يناير,2023-01-18,605025,5,5,5,5,5,شكر
38,يناير,2023-01-18,508959,5,5,5,5,5,شكر
39,يناير,2023-01-18,514784,5,5,5,5,5,شكر
40,يناير,2023-01-18,613858,5,5,5,5,5,شكر
41,يناير,2023-01-18,633484,1,1,1,1,1,شكوي
42,يناير,2023-01-18,601735,5,5,5,5,5,اقتراح 
43,يناير,2023-01-18,607920,5,5,5,5,5,شكر
44,يناير,2023-01-20,834055,5,5,5,5,5,شكر
45,يناير,2023-01-20,609997,5,5,5,5,5,شكر
46,يناير,2023-01-20,621478,5,5,5,5,5,شكر
47,يناير,2023-01-20,447565,5,5,5,5,5,شكر
48,يناير,2023-01-20,609668,5,5,5,5,5,شكر
49,يناير,2023-01-20,616624,5,5,5,5,5,شكر
50,يناير,2023-01-20,613389,5,5,5,5,5,شكر
51,يناير,2023-01-20,635261,5,5,5,5,5,شكر
52,يناير,2023-01-24,838147,1,1,1,1,1,شكوي
53,يناير,2023-01-24,612743,5,5,5,5,5,شكر
54,يناير,2023-01-24,633564,5,5,5,5,5,شكر
55,يناير,2023-01-24,631469,5,5,5,5,5,شكر
56,يناير,2023-01-24,608756,5,5,5,5,5,شكر
57,يناير,2023-01-24,603031,5,5,5,5,5,شكر
58,يناير,2023-01-24,509862,5,5,5,5,5,شكر
59,يناير,2023-01-24,522472,5,5,5,5,5,شكر
60,يناير,2023-01-24,514119,5,5,5,5,5,شكر
61,يناير,2023-01-28,608676,5,5,5,5,5,شكر
62,يناير,2023-01-28,512935,5,5,5,5,5,شكر
63,يناير,2023-01-28,622962,5,5,5,5,5,شكر
64,يناير,2023-01-28,609016,5,5,5,5,5,شكر
65,يناير,2023-01-28,507897,5,5,5,5,5,شكر
66,يناير,2023-01-28,621572,5,5,5,5,5,شكر
67,يناير,2023-01-28,612816,5,5,5,5,5,شكر
68,يناير,2023-01-28,507927,5,5,5,5,5,شكر
69,يناير,2023-01-30,610727,5,5,5,5,5,شكر
70,يناير,2023-01-30,520000,5,5,5,5,5,شكر
71,يناير,2023-01-30,602125,5,5,5,5,5,شكر
72,يناير,2023-01-30,515105,5,5,5,5,5,شكر
